,Image,ClassName
0,/srv/Data/fruits_with_background/Orange/IMG_2653.JPG,Orange
1,/srv/Data/fruits_with_background/Lime/IMG_20190902_111100.jpg,Lime
2,/srv/Data/fruits_with_background/Orange/IMG20200728190612_01.jpg,Orange
3,/srv/Data/fruits_with_background/Lime/IMG_20190902_111031.jpg,Lime
4,/srv/Data/fruits_with_background/Banana/IMG_9421.JPG,Banana
5,/srv/Data/fruits_with_background/Orange/IMG_2675.JPG,Orange
6,/srv/Data/fruits_with_background/Lime/IMG_20190902_111318.jpg,Lime
7,/srv/Data/fruits_with_background/Lime/IMG_20190902_104057.jpg,Orange
8,/srv/Data/fruits_with_background/Lime/lime_toy.jpg,Lime
9,/srv/Data/fruits_with_background/Orange/IMG20200729173728.jpg,Orange
10,/srv/Data/fruits_with_background/Banana/IMG_8510.JPG,Banana
11,/srv/Data/fruits_with_background/Lime/IMG_20190902_104348_1.jpg,Lime
12,/srv/Data/fruits_with_background/Orange/IMG20200729173844.jpg,Lime
13,/srv/Data/fruits_with_background/Banana/IMG_8913.JPG,Banana
14,/srv/Data/fruits_with_background/Orange/IMG_1935.JPG,Orange
15,/srv/Data/fruits_with_background/Banana/IMG_8497_distorted.jpg,Banana
16,/srv/Data/fruits_with_background/Lime/IMG_20190902_104500.jpg,Lime
17,/srv/Data/fruits_with_background/Lime/IMG_20190902_104415_1.jpg,Lime
18,/srv/Data/fruits_with_background/Lime/IMG_20190902_104207.jpg,Lime
19,/srv/Data/fruits_with_background/Orange/IMG_1995-distorted.jpg,Orange
20,/srv/Data/fruits_with_background/Orange/IMG20200728190438.jpg,Orange
21,/srv/Data/fruits_with_background/Lime/IMG_20190902_111341_1.jpg,Lime
22,/srv/Data/fruits_with_background/Orange/IMG_2676.JPG,Orange
23,/srv/Data/fruits_with_background/Banana/cat_banana.jpg,Banana
24,/srv/Data/fruits_with_background/Banana/IMG_8649.JPG,Banana
25,/srv/Data/fruits_with_background/Banana/IMG_0130.JPG,Orange
26,/srv/Data/fruits_with_background/Lime/IMG_20190902_110913.jpg,Lime
27,/srv/Data/fruits_with_background/Banana/IMG_8761.JPG,Banana
28,/srv/Data/fruits_with_background/Lime/IMG_20190902_104318.jpg,Lime
29,/srv/Data/fruits_with_background/Lime/IMG_20190902_110943.jpg,Banana
30,/srv/Data/fruits_with_background/Banana/IMG_9194.JPG,Banana
31,/srv/Data/fruits_with_background/Lime/IMG_20190902_104535.jpg,Lime
32,/srv/Data/fruits_with_background/Banana/IMG_8893.JPG,Banana
33,/srv/Data/fruits_with_background/Orange/IMG_20190924_151031.jpg,Orange
34,/srv/Data/fruits_with_background/Orange/IMG_20190924_151839.jpg,Orange
35,/srv/Data/fruits_with_background/Orange/IMG_1918.JPG,Orange
36,/srv/Data/fruits_with_background/Banana/IMG20200730132027_01.jpg,Banana
37,/srv/Data/fruits_with_background/Orange/IMG_20190924_151010_1.jpg,Orange
38,/srv/Data/fruits_with_background/Orange/IMG_20190924_151859.jpg,Orange
39,/srv/Data/fruits_with_background/Banana/IMG_8774.JPG,Banana
40,/srv/Data/fruits_with_background/Lime/IMG_20190902_111026.jpg,Lime
41,/srv/Data/fruits_with_background/Banana/dog_banana_3.jpg,Banana
42,/srv/Data/fruits_with_background/Banana/IMG_8576.JPG,Banana
43,/srv/Data/fruits_with_background/Orange/IMG_1894.JPG,Orange
44,/srv/Data/fruits_with_background/Lime/IMG_20190902_111003_1.jpg,Lime
45,/srv/Data/fruits_with_background/Orange/IMG20200729173830.jpg,Orange
46,/srv/Data/fruits_with_background/Lime/IMG_20190902_111254.jpg,Lime
47,/srv/Data/fruits_with_background/Orange/IMG20200728190601.jpg,Orange
48,/srv/Data/fruits_with_background/Orange/IMG20200729173842.jpg,Orange
49,/srv/Data/fruits_with_background/Orange/orange_ball_3.jpg,Orange
50,/srv/Data/fruits_with_background/Banana/IMG_8957.JPG,Banana
51,/srv/Data/fruits_with_background/Banana/IMG_8840.JPG,Banana
52,/srv/Data/fruits_with_background/Orange/IMG_2536.JPG,Orange
53,/srv/Data/fruits_with_background/Orange/IMG_1926.JPG,Orange
54,/srv/Data/fruits_with_background/Banana/IMG_9104.JPG,Banana
